opening,eco,n2019,share2019,white_short_rate,black_short_rate,weapon_side,trickiness,soundness,low_winrate,punish_gap,surprise
"Alekhine Defense: Modern Variation, Larsen Variation",B04,21162,0.00010248583851971551,0.09044513751063227,0.07064549664492958,white,0.09044513751063227,0.47408270238788586,0.5305216426193119,0.05643894023142604,9.185785929714156
"Alekhine Defense: Modern Variation, Larsen-Haakert Variation",B04,19837,9.606897168110749e-05,0.08796693048344004,0.07642284619650148,white,0.08796693048344004,0.49722340879965826,0.5006497725795972,0.0034263637799389346,9.250444169450153
"Alekhine Defense: Modern Variation, Main Line",B05,29546,0.00014308886612340583,0.06566032627089961,0.05736817166452312,white,0.06566032627089961,0.47894406033940917,0.5301775147928994,0.05123345445349026,8.852044679296709
"Alekhine Defense: Modern Variation, Schmid Variation",B04,10974,5.314618617878074e-05,0.059595407326407876,0.049571714962638964,white,0.059595407326407876,0.4736159169550173,0.5255681818181818,0.051952264863164455,9.84246421155934
Alekhine Defense: Mokele Mbembe,B02,41235,0.00019969773893585053,0.13022917424518007,0.08323026555110949,white,0.13022917424518007,0.5254110612855007,0.574050594699028,0.048639533413527225,8.518705639910806
"Alekhine Defense: Mokele Mbembe, Vavra Defense",B02,19114,9.256754170049345e-05,0.10426912210944857,0.12613790938579053,black,0.12613790938579053,0.441233140655106,0.41734071235986947,-0.023892428295236523,9.287571999352137
Alekhine Defense: Normal Variation,B02,139481,0.0006754950969931216,0.09498067837196464,0.06829604032090392,white,0.09498067837196464,0.4810274372446001,0.5221811798266467,0.04115374258204657,7.3000646589277105
Alekhine Defense: Scandinavian Variation,B02,308799,0.0014954883493549585,0.08278848053264422,0.08980922865682855,black,0.08980922865682855,0.4658682906876335,0.46739870757678953,0.0015304168891560055,6.505302470392716
"Alekhine Defense: Scandinavian Variation, Geschev Gambit",B02,83786,0.0004057687584449902,0.07201680471677846,0.1098035471319791,black,0.1098035471319791,0.4757199915913391,0.47754767274964116,0.0018276811583020636,7.809727121104046
Alekhine Defense: Steiner Variation,B02,5040,2.4408308578554304e-05,0.052182539682539685,0.08055555555555556,black,0.08055555555555556,0.46466809421841543,0.49731663685152055,0.032648542633105126,10.620586968112848
Alekhine Defense: Sämisch Attack,B02,37567,0.000181933914359236,0.08917400910373466,0.04908563366784678,white,0.08917400910373466,0.4995972289350733,0.506429277942631,0.006832049007557739,8.611867044743406
Alekhine Defense: The Squirrel,B02,7917,3.834138472547905e-05,0.14235190097259062,0.06441834028040924,white,0.14235190097259062,,0.5932407966203983,,10.168980704006827
Alekhine Defense: Two Pawn Attack,B02,105499,0.000510923044985893,0.0803988663399653,0.06593427425852377,white,0.0803988663399653,0.4658091613072582,0.531224133173917,0.06541497186665884,7.579291575997912
"Alekhine Defense: Two Pawn Attack, Lasker Variation",B02,57891,0.00028036138728593,0.08053065243302068,0.058005562177195075,white,0.08053065243302068,0.5006466632177962,0.5071201600564905,0.006473496838694359,8.179431118113795
Amar Opening,E00,43524,0.00021078317908194394,0.08121955702600864,0.10754985754985755,black,0.10754985754985755,0.44316546762589926,0.5395785876993167,0.0964131200734174,8.46468054010736
Amazon Attack,D00,58424,0.0002829426627764795,0.09775092427769409,0.12090921539093523,black,0.12090921539093523,0.43781094527363185,0.503685968117951,0.06587502284431912,8.170266285878316
Amazon Attack: Siberian Attack,D00,13683,6.626565203975368e-05,0.11247533435650077,0.11634875392823212,black,0.11634875392823212,0.5024630541871922,0.48578535891968727,-0.0166776952675049,9.621838863798452
Anderssen Opening,A00,126595,0.0006130892508932703,0.0638097871163948,0.07455270745290099,black,0.07455270745290099,0.4581143544608371,0.4911206575787302,0.0330063031178931,7.39700003573675
Australian Defense,A40,7593,3.677227917400056e-05,0.11971552745950217,0.062162518108784405,white,0.11971552745950217,0.4740608228980322,0.5694716242661448,0.09541080136811264,10.210766279965029
Barnes Defense,B00,100314,0.0004858125132438683,0.16251968817911758,0.05627330183224675,white,0.16251968817911758,0.5381094527363184,0.5628991875734505,0.024789734837132094,7.62968778371256
Barnes Opening: Walkerling,A00,18084,8.757933578066984e-05,0.07714001327140013,0.1285113912851139,black,0.1285113912851139,0.5015290519877675,0.5197942294788638,0.01826517749109624,9.342965480763766
Benko Gambit,A57,92856,0.0004496940280496505,0.05083139484793659,0.07181011458602568,black,0.07181011458602568,0.4959584295612009,0.4794326241134752,-0.016525805447725694,7.706943144129803
"Benko Gambit Accepted, Fianchetto Variation",A58,11005,5.329631664821232e-05,0.02489777373920945,0.0506133575647433,black,0.0506133575647433,0.485378590078329,0.25,-0.235378590078329,9.8396433352177
"Benko Gambit Accepted, Fully Accepted Variation",A58,46529,0.00022533614878007008,0.0374820004728234,0.05777042274710396,black,0.05777042274710396,0.46556387194163157,0.49740932642487046,0.03184545448323889,8.397917276081367
"Benko Gambit Accepted, Modern Variation",A57,13068,6.32872572429658e-05,0.052647689011325376,0.056320783593510865,black,0.056320783593510865,0.441216771718279,0.39215686274509803,-0.049059908973180966,9.667826556457301
"Benko Gambit Accepted, Pawn Return Variation",A57,23364,0.00011314994476772674,0.038906009244992296,0.04160246533127889,black,0.04160246533127889,0.4649515675450474,0.3333333333333333,-0.1316182342117141,9.086796674018062
"Benko Gambit Accepted, Yugoslav, without 7...Bxf1",A59,10309,4.9925645463554825e-05,0.03346590357939665,0.04442719953438743,black,0.04442719953438743,0.44590523144344013,0.38461538461538464,-0.061289846828055494,9.904975750081878
"Benko Gambit Declined, Main Line",A57,11429,5.534971403656689e-05,0.05687286726747747,0.047073234753696735,white,0.05687286726747747,0.47585166019836134,0.5555555555555556,0.07970389535719424,9.801839065280664
Benko Gambit: Zaitsev System,A58,21277,0.000103042774132123,0.04624712130469521,0.06763171499741505,black,0.06763171499741505,0.493392890377815,0.5645161290322581,0.07112323865444314,9.180366373104544
Benoni Defense,A56,146799,0.000710935573615713,0.05581781892247222,0.07247324573055675,black,0.07247324573055675,0.4565858571325804,0.4800748863332442,0.023489029200663814,7.248928746028012
Benoni Defense: Benoni Gambit Accepted,A43,398175,0.0019283290214813214,0.09432033653544296,0.106473284359892,black,0.106473284359892,0.4758695390540378,0.4842491929798523,0.008379653925814523,6.25110144305828
"Benoni Defense: Benoni Gambit, Schlenker Defense",A43,5059,2.4500324027560757e-05,0.0721486459774659,0.07135797588456216,white,0.0721486459774659,0.49113660062565173,0.48846153846153845,-0.0026750621641132843,10.616824214886325
Benoni Defense: Benoni-Indian Defense,A43,45502,0.00022036247161535277,0.08223814337831305,0.062239022460551185,white,0.08223814337831305,0.5017613075947583,0.5213380887959661,0.01957678120120776,8.420236769161303
"Benoni Defense: Benoni-Indian Defense, Kingside Move Order",A43,31648,0.000153268680534541,0.05554853387259859,0.04594287158746208,white,0.05554853387259859,0.48173282513712,0.5323076923076923,0.050574867170572246,8.783318094755822
Benoni Defense: Classical Variation,A70,16390,7.93754320639891e-05,0.03544844417327639,0.03801098230628432,black,0.03801098230628432,0.47155688622754494,0.5634517766497462,0.09189489042220128,9.441321657440387
"Benoni Defense: Classical Variation, Averbakh-Grivas Attack",A71,7817,3.785709288860297e-05,0.038889599590635794,0.040040936420621724,black,0.040040936420621724,0.4732394366197183,0.5310734463276836,0.05783400970796532,10.181692200957931
"Benoni Defense: Classical Variation, New York Variation",A70,10711,5.187249864779665e-05,0.0393987489496779,0.03958547287834936,black,0.03958547287834936,0.4290934003197077,0.5217391304347826,0.09264573011507488,9.866721799413632
Benoni Defense: Cormorant Gambit,A43,9335,4.520864297238183e-05,0.1365827530798072,0.09683985002678093,white,0.1365827530798072,,0.5293036083658929,,10.004222273202439
Benoni Defense: Czech Benoni Defense,A56,25471,0.00012335397377070568,0.04668053865180009,0.05374739900278749,black,0.05374739900278749,0.47220708446866483,0.46445497630331756,-0.007752108165347271,9.000452500098769
Benoni Defense: Fianchetto Variation,A62,8598,4.1639412134605136e-05,0.04756920214003257,0.025354733658990464,white,0.04756920214003257,0.5085685483870968,0.6923076923076923,0.18373914392059554,10.086463432122034
Benoni Defense: Four Pawns Attack,A68,6074,2.9415886171852945e-05,0.0286466908133026,0.04955548238393151,black,0.04955548238393151,0.49785867237687365,0.2857142857142857,-0.21214438666258795,10.433975683572568
"Benoni Defense: Four Pawns Attack, Main Line",A69,6125,2.9662875008659745e-05,0.059918367346938776,0.04179591836734694,white,0.059918367346938776,0.5789273488018258,0.6666666666666666,0.0877393178648408,10.425614293765333
Benoni Defense: Hromádka System,A57,73180,0.00035440476622591345,0.049357748018584315,0.04758130636786007,white,0.049357748018584315,0.4870136432541688,0.518794704002435,0.0317810607482662,7.945070890605064
Benoni Defense: King's Pawn Line,A65,76362,0.00036981493247531023,0.045389067860977975,0.04032110211885493,white,0.045389067860977975,0.49277478862413526,0.5231306371835903,0.030355848559455056,7.90250785995816
Benoni Defense: Modern Variation,A60,72182,0.0003495715336938902,0.07729073730292871,0.06611066470865312,white,0.07729073730292871,0.4697837978640271,0.5296265094074698,0.05984271154344273,7.958802342858844
"Benoni Defense: Modern Variation, Snake Variation",A60,8335,4.036572460362105e-05,0.0752249550089982,0.059748050389922015,white,0.0752249550089982,0.47002854424357754,0.5709515859766278,0.10092304173305022,10.117529533993368
Benoni Defense: Old Benoni,A43,157592,0.000763205191569748,0.05614498197878065,0.04983755520584801,white,0.05614498197878065,0.5057747834456208,0.5060251639199007,0.00025038047427994314,7.17798363548207
Benoni Defense: Taimanov Variation,A67,7310,3.540173327564126e-05,0.05649794801641587,0.037756497948016415,white,0.05649794801641587,0.5246583481877599,0.5,-0.024658348187759915,10.248749776434437
Benoni Defense: Weenink Variation,A56,8810,4.2666110828782425e-05,0.06503972758229284,0.10022701475595913,black,0.10022701475595913,0.46016343207354443,0.565625,0.10546156792645561,10.062105610248036
Bird Opening,A02,911947,0.004416484877636282,0.0692375763065178,0.058366330499469814,white,0.0692375763065178,0.4872284286756863,0.48538057784152705,-0.001847850834159226,5.422411175845567
Bird Opening: Dutch Variation,A03,702469,0.0034020000235850125,0.07199890671332115,0.0594887461226047,white,0.07199890671332115,0.48918725788860057,0.47965342041488496,-0.009533837473715612,5.683391778075777
"Bird Opening: Dutch Variation, Batavo Gambit",A02,13356,6.46820177331689e-05,0.09763402216232404,0.11889787361485475,black,0.11889787361485475,0.5489296636085627,0.5258764607679466,-0.02305320284061607,9.646027328114716
Bird Opening: From's Gambit,A02,122615,0.0005938144357856024,0.08206173796028218,0.11648656363413938,black,0.11648656363413938,0.46916351606805295,0.47417310530427986,0.005009589236226908,7.428943685075281
"Bird Opening: From's Gambit, Lasker Variation",A02,20506,9.930888406980844e-05,0.09285087291524431,0.13942260801716572,black,0.13942260801716572,0.40019553527782303,0.6521739130434783,0.25197837776565524,9.217275523948226
Bird Opening: Hobbs Gambit,A02,5198,2.5173489680818505e-05,0.10657945363601386,0.08849557522123894,white,0.10657945363601386,0.5006839945280438,0.5229681978798587,0.022284203351814913,10.589719113976827
Bird Opening: Lasker Variation,A03,19710,9.545392104827486e-05,0.07184170471841704,0.04180618975139523,white,0.07184170471841704,0.49107952827335954,0.501219512195122,0.010139983921762408,9.256866929031496
Bird Opening: Schlechter Gambit,A02,17782,8.611677443330409e-05,0.09953885952086379,0.10460015746260264,black,0.10460015746260264,0.4728894989704873,0.4692675745307324,-0.0036219244397548978,9.359806340497178
Bird Opening: Sturm Gambit,A02,7610,3.6854608786269493e-05,0.0923784494086728,0.07936925098554533,white,0.0923784494086728,0.46885245901639344,0.4629277566539924,-0.0059247023624010575,10.20852987832253
Bird Opening: Wagner-Zwitersch Gambit,A02,6073,2.9411043253484182e-05,0.16169932488061914,0.08233163181294254,white,0.16169932488061914,0.4974160206718346,0.4943310657596372,-0.003084954912197402,10.434140333280686
Bird Opening: Williams Gambit,A03,52960,0.0002564809568095706,0.09176737160120846,0.12902190332326283,black,0.12902190332326283,0.53156146179402,0.5233577083459238,-0.008203753448096207,8.268456138567371
Bishop's Opening,C23,1703156,0.008248245477265126,0.1328328115568979,0.07630774867363882,white,0.1328328115568979,0.49674358768191684,0.5224951697488269,0.025751582066910084,4.797754770675304
Bishop's Opening: Berlin Defense,C24,805409,0.0039005300404652467,0.11239382723560327,0.08461787737658755,white,0.11239382723560327,0.49332719742291764,0.5059286159808258,0.012601418557908195,5.546642827269564
"Bishop's Opening: Berlin Defense, Greco Gambit",C23,6687,3.23845951319033e-05,0.15432929564827277,0.14610438163601017,white,0.15432929564827277,,0.5227675931401538,,10.337827707124283
Bishop's Opening: Boden-Kieseritzky Gambit,C27,9656,4.676321976875404e-05,0.225973487986744,0.0837821043910522,white,0.225973487986744,0.5092936802973977,0.5380333951762524,0.028739714878854628,9.970413566400895
Bishop's Opening: Boi Variation,C20,437673,0.0021196146112106343,0.1376073004274881,0.08787153879722989,white,0.1376073004274881,0.4820582261340555,0.5358701726833478,0.05381194654929228,6.1565209939883
Bishop's Opening: Calabrese Countergambit,C23,38194,0.00018497042417644902,0.13787505890977642,0.11661517515840185,white,0.13787505890977642,0.44696969696969696,0.509699655342196,0.062729958372499,8.595314614982902
"Bishop's Opening: Calabrese Countergambit, Jaenisch Variation",C23,6183,2.994376427404787e-05,0.12065340449619925,0.08410156881772603,white,0.12065340449619925,0.512396694214876,0.5371287128712872,0.02473201865641117,10.416189459619693
Bishop's Opening: Khan Gambit,C23,35750,0.0001731343316831977,0.17057342657342658,0.11163636363636363,white,0.17057342657342658,0.5548172757475083,0.5586249232658073,0.0038076475182989844,8.661442781056108
Bishop's Opening: Lewis Gambit,C23,15348,7.432911112374036e-05,0.20484753713838938,0.07427677873338545,white,0.20484753713838938,0.515625,0.5877509006690684,0.07212590066906843,9.507007877811418
Bishop's Opening: Philidor Counterattack,C23,162183,0.0007854390298007287,0.12349629739245174,0.08040916742198627,white,0.12349629739245174,0.4879663056558363,0.5290222744654575,0.041055968809621146,7.1492677228855745
Bishop's Opening: Philidor Variation,C23,21354,0.00010341567884651757,0.10302519434298024,0.08621335581155755,white,0.10302519434298024,0.5263157894736842,0.5095734597156398,-0.01674232975804435,9.176753974440015
Bishop's Opening: Ponziani Gambit,C24,84017,0.000406887472588174,0.20436340264470285,0.1043479295856791,white,0.20436340264470285,0.5729665071770335,0.5392397196423022,-0.03372678753473124,7.806973890876693
Bishop's Opening: Stein Gambit,C23,7560,3.661246286783145e-05,0.1394179894179894,0.14166666666666666,black,0.14166666666666666,0.5288461538461539,0.4442446043165468,-0.08460154952960708,10.215121860004682
Bishop's Opening: Urusov Gambit,C24,31943,0.0001546973414533254,0.17211908712393953,0.1018689540744451,white,0.17211908712393953,0.49649941656942825,0.5365102373618409,0.04001082079241264,8.77403998570858
"Bishop's Opening: Urusov Gambit, Keidansky Gambit",C24,10905,5.281202481133624e-05,0.264007336084365,0.10692342961944062,white,0.264007336084365,0.5896328293736501,0.5700750098697197,-0.01955781950393043,9.848771650542533
Bishop's Opening: Vienna Hybrid,C28,152395,0.0007380365448072982,0.0946028413005676,0.06544177958594442,white,0.0946028413005676,0.4994748818484159,0.5208287827253721,0.021353900876956267,7.211517215880736
"Bishop's Opening: Vienna Hybrid, Hromádka Variation",C28,10697,5.1804697790634005e-05,0.1038608955781995,0.05824062821351781,white,0.1038608955781995,0.5065913370998116,0.5359256128486898,0.029334275748878147,9.868029721872132
"Bishop's Opening: Vienna Hybrid, Spielmann Attack",C26,85064,0.00041195800812026653,0.09925467883005737,0.07146383899181792,white,0.09925467883005737,0.514916918429003,0.5276388793752996,0.012721960946296629,7.79458913584734
Bishop's Opening: Warsaw Gambit,C24,8138,3.9411669684975184e-05,0.15654952076677317,0.11046940280167117,white,0.15654952076677317,,0.5202411714039621,,10.141448600616627
Blackmar-Diemer Gambit,D00,171993,0.0008329480589982719,0.11788270452867268,0.11694661992057816,white,0.11788270452867268,0.47994955863808325,0.45800883179446006,-0.021940726843623193,7.090539271885263
Blackmar-Diemer Gambit #2,D00,24652,0.00011938762362669061,0.11443290605224728,0.1347963654064579,black,0.1347963654064579,0.4785276073619632,0.530052918410868,0.05152531104890479,9.033135017096129
"Blackmar-Diemer Gambit Declined, Lamb Defense",D00,17206,8.332725345289788e-05,0.11199581541322795,0.12507264907590376,black,0.12507264907590376,0.43253968253968256,0.5017561983471074,0.06921651580742483,9.392734889996968
"Blackmar-Diemer Gambit Declined, O'Kelly Defense",D00,9432,4.5678406054151625e-05,0.114715860899067,0.062234944868532656,white,0.114715860899067,0.4808831448572967,0.5196374622356495,0.03875431737835283,9.993884886961055
"Blackmar-Diemer Gambit Declined, Weinsbach Declination",D00,16206,7.848433508413712e-05,0.1356904850055535,0.0884857460199926,white,0.1356904850055535,0.5705950991831972,0.48639079442354505,-0.08420430475965213,9.452611506157591
Blackmar-Diemer Gambit: Diemer-Rosenberg Attack,D00,16153,7.822766041059278e-05,0.12468272147588683,0.08958088280814709,white,0.12468272147588683,0.4276595744680851,0.4828217117300264,0.0551621372619413,9.455887259264504
Blackmar-Diemer Gambit: Euwe Defense,D00,21691,0.00010504774233678996,0.22046009865842978,0.0664791849154027,white,0.22046009865842978,0.5952906548933039,0.5097548774387194,-0.08553577745458452,9.161095622224625
Blackmar-Diemer Gambit: Fritz Attack,D00,16305,7.896378400264443e-05,0.10757436369211898,0.11223551057957681,black,0.11223551057957681,,0.5224240703945501,,9.446521240954842
Blackmar-Diemer Gambit: Gedult Gambit,D00,74473,0.00036066665967672117,0.14355538248761296,0.09443691002108147,white,0.14355538248761296,0.4756195043964828,0.4774944916587976,0.0018749872623147756,7.927556406606582
"Blackmar-Diemer Gambit: Lemberger Countergambit, Endgame Variation",D00,5373,2.6021000395351643e-05,0.08412432533035548,0.09398846082263168,black,0.09398846082263168,0.46905537459283386,0.4263883712262393,-0.04266700336659457,10.55660663844944
Blackmar-Diemer Gambit: Netherlands Variation,D00,47948,0.0002322082499453416,0.14761825310753315,0.08521731876199216,white,0.14761825310753315,0.5804953560371517,0.505745874407712,-0.07474948162943973,8.367875959851272
Blackmar-Diemer Gambit: Pietrowsky Defense,D00,7196,3.484964058160253e-05,0.1631461923290717,0.09588660366870484,white,0.1631461923290717,,0.4933008526187576,,10.264467734107837
Blackmar-Diemer Gambit: Rasa-Studier Gambit,D00,10080,4.881661715710861e-05,0.10952380952380952,0.09037698412698413,white,0.10952380952380952,0.4588744588744589,0.46331920443430064,0.004444745559841756,9.927439787552903
Blackmar-Diemer Gambit: Ryder Gambit,D00,96898,0.0004692691040961815,0.1930173997399327,0.09936221593840946,white,0.1930173997399327,0.45727636849132175,0.5518745739604636,0.09459820546914183,7.6643341713472894
Blackmar-Diemer Gambit: Teichmann Variation,D00,27125,0.000131364160752636,0.15948387096774194,0.07686635944700461,white,0.15948387096774194,0.5286762707257406,0.5188943317004898,-0.009781939025250819,8.937537238335501
Blackmar-Diemer Gambit: Vienna Variation,D00,20162,9.764292015095474e-05,0.126773137585557,0.11149687530998909,white,0.126773137585557,0.4971209213051823,0.47061442564559214,-0.02650649565959018,9.234193405564374
Blackmar-Diemer Gambit: Zeller Defense,D00,36663,0.00017755591615387626,0.15879769795161333,0.09101819272836374,white,0.15879769795161333,0.5062893081761006,0.5125432891291494,0.006253980953048743,8.636224978072152
Blackmar-Diemer Gambit: Ziegler Defense,D00,10329,5.002250383093004e-05,0.16187433439829607,0.058476135153451445,white,0.16187433439829607,0.5380670611439842,0.5391304347826087,0.0010633736386245207,9.903037577171629
Blackmar-Diemer Gambit: von Popiel Gambit,D00,40965,0.00019839015097628513,0.1372879287196387,0.08761137556450628,white,0.1372879287196387,0.5279295689131754,0.48501577287066244,-0.042913796042513,8.525275006602346
Blumenfeld Countergambit #2,E10,61349,0.00029710819900510474,0.07439404065265938,0.06198960048248545,white,0.07439404065265938,0.49440676473178896,0.5073038773669973,0.012897112635208374,8.12141417909055
Bogo-Indian Defense: Exchange Variation,E11,23510,0.00011385701084956581,0.06227137388345385,0.045512547851977884,white,0.06227137388345385,0.4861386138613861,0.5036958817317846,0.017557267870398463,9.080567187644146
Bogo-Indian Defense: Grünfeld Variation,E11,20030,9.700365492627831e-05,0.05946080878681977,0.03719420868696954,white,0.05946080878681977,0.5048453006421483,0.5325,0.027654699357851698,9.240761900518399
Bogo-Indian Defense: Nimzowitsch Variation,E11,22414,0.00010854917231740399,0.04046578031587401,0.03631658784688142,white,0.04046578031587401,0.4702407489968792,0.45320197044334976,-0.01703877855352942,9.128307286566288
Bogo-Indian Defense: Retreat Variation,E11,6419,3.108669300907541e-05,0.05670665212649945,0.03925845147219193,white,0.05670665212649945,0.4983210208193418,0.5053003533568905,0.006979332537548677,10.378730707866483
Bogo-Indian Defense: Vitolins Variation,E11,5681,2.751261925292996e-05,0.04559056504136596,0.04805491990846682,black,0.04805491990846682,0.4534653465346535,0.6363636363636364,0.18289828982898287,10.500865776621135
Bogo-Indian Defense: Wade-Smyslov Variation,E11,10008,4.846792703455783e-05,0.051458832933653074,0.03207434052757794,white,0.051458832933653074,0.465627395859954,0.4697986577181208,0.004171261858166797,9.934608277031515
Borg Defense,B00,89074,0.0004313781107789972,0.15271571951411186,0.09299009812066372,white,0.15271571951411186,0.5105145413870246,0.545968882602546,0.03545434121552138,7.74852556526177
Borg Defense: Borg Gambit,A40,41665,0.00020178019383441766,0.14938197527901115,0.08786751470058803,white,0.14938197527901115,0.5036803364879074,0.5636858604190728,0.06000552393116532,8.508331602361954
Budapest Defense,A52,59223,0.00028681215455311933,0.1102949867450146,0.13070935278523546,black,0.13070935278523546,0.4309149331980382,0.4828091901580577,0.05189425696001948,8.156683070244485
Budapest Defense: Adler Variation,A52,148496,0.0007191540060874999,0.08363188234026506,0.12687883848723197,black,0.12687883848723197,0.4464946817887994,0.5003352811571989,0.05384059936839952,7.2374350283430875
Budapest Defense: Alekhine Variation,A52,12370,5.990690022157078e-05,0.11285367825383993,0.08431689571544058,white,0.11285367825383993,0.527651858567543,0.5567484662576687,0.029096607690125675,9.722718863791728
Budapest Defense: Fajarowicz Variation,A51,23245,0.0001125736374818442,0.0799741879974188,0.1319423531942353,black,0.1319423531942353,0.47980676328502414,0.457286432160804,-0.02252033112422014,9.091902995053577
Budapest Defense: Rubinstein Variation,A52,65423,0.00031683824843943613,0.09808477141066597,0.09368264983262767,white,0.09808477141066597,0.5202787869800549,0.4726027397260274,-0.04767604725402752,8.05711917160139
Canard Opening,A45,80300,0.0003888863450114902,0.06946450809464508,0.05019925280199253,white,0.06946450809464508,0.46593435334117955,0.47323270713432514,0.007298353793145584,7.852223429243408
Caro-Kann Defense,B10,2768881,0.013409464655812702,0.07542072050044765,0.06644091963504391,white,0.07542072050044765,0.4752249036127374,0.4870354083194892,0.011810504706751823,4.311794503752188
Caro-Kann Defense #2,B10,103701,0.0005022154777588611,0.08248715055785383,0.07165793965342668,white,0.08248715055785383,0.48476658476658474,0.48626163601205197,0.0014950512454672271,7.5964812918055955
Caro-Kann Defense: Accelerated Panov Attack,B10,31722,0.0001536270564938293,0.0661370657587794,0.05466237942122187,white,0.0661370657587794,0.5002663825253063,0.5197264597580221,0.01946007723271581,8.780982603714756
Caro-Kann Defense: Accelerated Panov Attack #2,B10,86021,0.0004165926809991706,0.1001383383127376,0.06004347775543181,white,0.1001383383127376,0.5044867854947757,0.48332150461320084,-0.02116528088157482,7.783401597704666
"Caro-Kann Defense: Accelerated Panov Attack, Modern Variation",B10,37903,0.00018356113493113964,0.09012479223280478,0.05677650845579506,white,0.09012479223280478,0.49850465692557466,0.4392764857881137,-0.05922817113746098,8.602962785567566
"Caro-Kann Defense: Accelerated Panov Attack, Open Variation",B10,17367,8.410696331026837e-05,0.07278171244313929,0.06633269994817757,white,0.07278171244313929,0.5,0.4842390253335912,-0.0157609746664088,9.383421196431147
Caro-Kann Defense: Advance Variation,B12,564678,0.0027346894586350967,0.07059067291447516,0.05540502728988911,white,0.07059067291447516,0.47978968123562277,0.5115787224951933,0.03178904125957055,5.901737393015399
